Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
NYA,2010-01-04,7184.97998,7331.120117,7184.97998,7326.740234,7326.740234,7326.740234
NYA,2010-01-05,7326.740234,7359.459961,7313.600098,7354.870117,7354.870117,7354.870117
NYA,2010-01-06,7354.850098,7389.279785,7342.490234,7377.700195,7377.700195,7377.700195
NYA,2010-01-07,7377.700195,7398.209961,7325.509766,7393.930176,7393.930176,7393.930176
NYA,2010-01-08,7393.930176,7426.410156,7367.810059,7425.350098,7425.350098,7425.350098
NYA,2010-01-11,7425.609863,7471.310059,7419.569824,7449.049805,7449.049805,7449.049805
NYA,2010-01-12,7449.049805,7449.049805,7340.939941,7370.450195,7370.450195,7370.450195
NYA,2010-01-13,7370.470215,7441.180176,7349.419922,7430.140137,7430.140137,7430.140137
NYA,2010-01-14,7430.140137,7458.160156,7417.950195,7448.52002,7448.52002,7448.52002
NYA,2010-01-15,7448.509766,7448.509766,7326.540039,7356.790039,7356.790039,7356.790039
NYA,2010-01-19,7356.790039,7443.680176,7352.459961,7443.680176,7443.680176,7443.680176
NYA,2010-01-20,7443.669922,7443.669922,7269.930176,7329.830078,7329.830078,7329.830078
NYA,2010-01-21,7329.839844,7345.939941,7166.620117,7174.459961,7174.459961,7174.459961
NYA,2010-01-22,7174.459961,7174.459961,7021.029785,7030.609863,7030.609863,7030.609863
NYA,2010-01-25,7030.609863,7118.220215,7030.609863,7073.129883,7073.129883,7073.129883
NYA,2010-01-26,7073.140137,7098.77002,7008.97998,7028.319824,7028.319824,7028.319824
NYA,2010-01-27,7028.419922,7044.52002,6944.080078,7035.609863,7035.609863,7035.609863
NYA,2010-01-28,7035.620117,7061.609863,6913.299805,6956.990234,6956.990234,6956.990234
NYA,2010-01-29,6956.990234,7029.290039,6869.209961,6883.779785,6883.779785,6883.779785
NYA,2010-02-01,6883.790039,7008.390137,6883.790039,7008.22998,7008.22998,7008.22998
NYA,2010-02-02,7008.470215,7111.52002,7005.839844,7101.439941,7101.439941,7101.439941
NYA,2010-02-03,7101.430176,7101.430176,7023.169922,7042.620117,7042.620117,7042.620117
NYA,2010-02-04,7042.569824,7042.569824,6786.27002,6787.859863,6787.859863,6787.859863
NYA,2010-02-05,6787.859863,6799.810059,6631.509766,6782.75,6782.75,6782.75
NYA,2010-02-08,6782.740234,6815.97998,6712.450195,6713.870117,6713.870117,6713.870117
NYA,2010-02-09,6713.899902,6887.339844,6713.899902,6835.160156,6835.160156,6835.160156
NYA,2010-02-10,6835.160156,6850.97998,6756.319824,6819.120117,6819.120117,6819.120117
NYA,2010-02-11,6819.120117,6901.450195,6769.399902,6898.720215,6898.720215,6898.720215
NYA,2010-02-12,6898.720215,6898.720215,6783.109863,6874.560059,6874.560059,6874.560059
NYA,2010-02-16,6874.560059,7020.339844,6874.560059,7013.350098,7013.350098,7013.350098
NYA,2010-02-17,7013.350098,7059.890137,7008.700195,7035.200195,7035.200195,7035.200195
NYA,2010-02-18,7035.189941,7087.660156,7022.120117,7080.379883,7080.379883,7080.379883
NYA,2010-02-19,7080.379883,7096.200195,7022.52002,7083.25,7083.25,7083.25
NYA,2010-02-22,7083.25,7109.040039,7067.439941,7078.529785,7078.529785,7078.529785
NYA,2010-02-23,7078.529785,7078.529785,6961.850098,6974.600098,6974.600098,6974.600098
NYA,2010-02-24,6974.600098,7043.910156,6973.080078,7030.669922,7030.669922,7030.669922
NYA,2010-02-25,7030.609863,7030.609863,6896.02002,7013.450195,7013.450195,7013.450195
