Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
000001.SS,2010-08-27,2602.500977,2613.487061,2588.643066,2610.741943,2610.741943,417.71871088
000001.SS,2010-08-30,2622.266113,2656.35498,2620.189941,2652.664063,2652.664063,424.4262500800001
000001.SS,2010-08-31,2644.787109,2647.25293,2626.792969,2638.798096,2638.798096,422.20769536
000001.SS,2010-09-01,2641.052979,2662.875977,2604.487061,2622.88208,2622.88208,419.6611328
000001.SS,2010-09-02,2646.893066,2659.978027,2636.417969,2655.775879,2655.775879,424.92414064
000001.SS,2010-09-03,2658.128906,2660.539063,2631.851074,2655.394043,2655.394043,424.86304688
000001.SS,2010-09-06,2667.195068,2698.601074,2664.239014,2696.25,2696.25,431.4
000001.SS,2010-09-07,2698.218018,2704.933105,2679.022949,2698.363037,2698.363037,431.73808592
000001.SS,2010-09-08,2687.710938,2695.844971,2674.321045,2695.291016,2695.291016,431.24656256
000001.SS,2010-09-09,2698.637939,2698.637939,2651.602051,2656.352051,2656.352051,425.01632816
000001.SS,2010-09-10,2657.235107,2667.836914,2628.829102,2663.208984,2663.208984,426.11343744
000001.SS,2010-09-13,2665.655029,2696.674072,2660.606934,2688.320068,2688.320068,430.13121088
000001.SS,2010-09-14,2694.069092,2703.781006,2678.974121,2688.521973,2688.521973,430.16351568
000001.SS,2010-09-15,2688.385986,2688.48999,2645.864014,2652.50293,2652.50293,424.4004688
000001.SS,2010-09-16,2646.920898,2653.271973,2583.336914,2602.465088,2602.465088,416.39441408
000001.SS,2010-09-17,2607.551025,2615.079102,2592.534912,2598.688965,2598.688965,415.7902344
000001.SS,2010-09-20,2601.481934,2607.346924,2573.628906,2588.712891,2588.712891,414.19406256
000001.SS,2010-09-21,2593.762939,2601.099121,2580.177002,2591.550049,2591.550049,414.64800784
000001.SS,2010-09-27,2600.540039,2629.044922,2597.138916,2627.967041,2627.967041,420.47472656
000001.SS,2010-09-28,2625.325928,2625.325928,2607.018066,2611.354004,2611.354004,417.81664064
000001.SS,2010-09-29,2608.918945,2634.124023,2603.927002,2610.677979,2610.677979,417.70847664
000001.SS,2010-09-30,2599.715088,2655.999023,2597.596924,2655.657959,2655.657959,424.90527344
000001.SS,2010-10-08,2681.25293,2747.804932,2677.993896,2738.743896,2738.743896,438.19902336
000001.SS,2010-10-11,2755.025879,2823.595947,2755.025879,2806.941895,2806.941895,449.1107032
000001.SS,2010-10-12,2795.763916,2843.427979,2782.341064,2841.406982,2841.406982,454.62511712
000001.SS,2010-10-13,2842.137939,2862.034912,2826.220947,2861.361084,2861.361084,457.81777344000005
000001.SS,2010-10-14,2881.552002,2919.414063,2864.519043,2879.635986,2879.635986,460.74175776
000001.SS,2010-10-15,2863.738037,2971.159912,2858.216064,2971.159912,2971.159912,475.38558592
000001.SS,2010-10-18,2985.460938,3026.099121,2944.715088,2955.227051,2955.227051,472.83632816
000001.SS,2010-10-19,2949.629883,3002.371094,2931.909912,3001.853027,3001.853027,480.2964843200001
000001.SS,2010-10-20,2947.510986,3041.150879,2942.504883,3003.950928,3003.950928,480.63214848000007
000001.SS,2010-10-21,3009.225098,3018.243896,2958.545898,2983.531982,2983.531982,477.36511712
000001.SS,2010-10-22,2976.753906,2997.624023,2954.618896,2975.042969,2975.042969,476.00687504
000001.SS,2010-10-25,2979.706055,3051.539063,2959.298096,3051.417969,3051.417969,488.22687504
000001.SS,2010-10-26,3065.843994,3073.384033,3017.818115,3041.542969,3041.542969,486.64687504
000001.SS,2010-10-27,3031.64502,3056.398926,2988.871094,2997.048096,2997.048096,479.52769536
000001.SS,2010-10-28,2989.290039,3007.012939,2969.303955,2992.579102,2992.579102,478.81265632
000001.SS,2010-10-29,2993.295898,2996.773926,2955.47998,2978.834961,2978.834961,476.61359376
000001.SS,2010-11-01,2986.885986,3054.050049,2986.885986,3054.020996,3054.020996,488.64335936
000001.SS,2010-11-02,3061.631104,3089.568115,3029.322998,3045.434082,3045.434082,487.26945312
000001.SS,2010-11-03,3044.020996,3069.065918,3017.0979,3030.988037,3030.988037,484.95808592
000001.SS,2010-11-04,3035.365967,3087.419922,3035.365967,3086.938965,3086.938965,493.9102344
000001.SS,2010-11-05,3129.870117,3142.587891,3105.920898,3129.49707,3129.49707,500.7195312
000001.SS,2010-11-08,3140.395996,3160.698975,3124.091064,3159.511963,3159.511963,505.52191408
000001.SS,2010-11-09,3159.019043,3159.019043,3110.343018,3135.0,3135.0,501.6
000001.SS,2010-11-10,3120.439941,3124.256104,3093.876953,3115.355957,3115.355957,498.45695312
000001.SS,2010-11-11,3108.510986,3186.719971,3102.772949,3147.743896,3147.743896,503.63902336
000001.SS,2010-11-12,3121.922119,3150.145996,2975.163086,2985.435059,2985.435059,477.66960944
000001.SS,2010-11-15,2984.87207,3016.131104,2939.679932,3014.413086,3014.413086,482.30609376
000001.SS,2010-11-16,3007.643066,3007.643066,2885.75293,2894.538086,2894.538086,463.12609376
000001.SS,2010-11-17,2852.478027,2891.052002,2824.121094,2838.856934,2838.856934,454.21710944
000001.SS,2010-11-18,2855.60498,2873.696045,2827.178955,2865.451904,2865.451904,458.47230464
000001.SS,2010-11-19,2879.655029,2888.75,2806.644043,2888.565918,2888.565918,462.17054688
000001.SS,2010-11-22,2861.605957,2904.969971,2852.773926,2884.371094,2884.371094,461.49937504
000001.SS,2010-11-23,2872.170898,2872.170898,2791.583984,2828.281982,2828.281982,452.52511712
000001.SS,2010-11-24,2794.864014,2861.485107,2794.864014,2859.936035,2859.936035,457.5897656
000001.SS,2010-11-25,2875.85791,2901.675049,2856.960938,2898.260986,2898.260986,463.72175776
000001.SS,2010-11-26,2890.287109,2894.420898,2851.957031,2871.697998,2871.697998,459.47167968
000001.SS,2010-11-29,2861.148926,2878.826904,2841.794922,2866.355957,2866.355957,458.61695312000006
000001.SS,2010-11-30,2863.412109,2881.159912,2758.924072,2820.180908,2820.180908,451.22894528
000001.SS,2010-12-01,2810.542969,2834.198975,2795.811035,2823.448975,2823.448975,451.751836
000001.SS,2010-12-02,2860.464111,2870.805908,2841.4729,2843.606934,2843.606934,454.97710944
000001.SS,2010-12-03,2846.725098,2853.400879,2822.741943,2842.429932,2842.429932,454.78878912
000001.SS,2010-12-06,2850.38208,2871.406982,2831.697021,2857.177002,2857.177002,457.14832032
000001.SS,2010-12-07,2843.76709,2884.530029,2809.110107,2875.861084,2875.861084,460.1377734400001
000001.SS,2010-12-08,2868.73291,2880.558105,2843.939941,2848.545898,2848.545898,455.76734368
000001.SS,2010-12-09,2837.61499,2854.699951,2808.506104,2810.948975,2810.948975,449.751836
000001.SS,2010-12-10,2798.736084,2850.422119,2792.520996,2841.040039,2841.040039,454.56640624
000001.SS,2010-12-13,2850.324951,2923.773926,2847.657959,2922.954102,2922.954102,467.67265632
000001.SS,2010-12-14,2928.300049,2933.406006,2912.419922,2927.076904,2927.076904,468.33230464
000001.SS,2010-12-15,2927.263916,2939.050049,2905.648926,2911.414063,2911.414063,465.82625008
000001.SS,2010-12-16,2908.86499,2921.274902,2891.85791,2898.137939,2898.137939,463.70207024
000001.SS,2010-12-17,2896.77002,2898.812988,2881.003906,2893.73999,2893.73999,462.9983984
000001.SS,2010-12-21,2857.589111,2908.166016,2846.633057,2904.11499,2904.11499,464.6583984
000001.SS,2010-12-22,2910.72998,2917.197998,2867.049072,2877.899902,2877.899902,460.46398432
