Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
399001.SZ,2010-02-12,12259.46973,12327.92969,12241.61035,12304.78027,12304.6416,1968.7648432
399001.SZ,2010-02-22,12299.11035,12337.76953,12213.54004,12213.54004,12213.40332,1954.1664064
399001.SZ,2010-02-23,12185.94043,12185.94043,11922.73047,12069.20996,12069.07422,1931.0735936
399001.SZ,2010-02-24,11994.9502,12282.08984,11936.9502,12282.08984,12281.95313,1965.1343744
399001.SZ,2010-02-25,12324.94043,12495.99023,12324.94043,12494.26953,12494.12988,1999.0831248
399001.SZ,2010-02-26,12473.0,12527.01953,12417.24023,12436.66016,12436.52051,1989.8656256
399001.SZ,2010-03-01,12480.80957,12599.26953,12454.03027,12588.25977,12588.11816,2014.1215632
399001.SZ,2010-03-02,12595.32031,12690.48047,12517.28027,12548.91016,12548.76953,2007.8256256
399001.SZ,2010-03-03,12544.01953,12612.69043,12444.2002,12612.69043,12612.54883,2018.0304688
399001.SZ,2010-03-04,12647.99023,12720.36035,12292.28027,12312.88965,12312.75098,1970.062344
399001.SZ,2010-03-05,12312.74023,12433.57031,12268.55957,12341.74023,12341.60156,1974.6784368
399001.SZ,2010-03-08,12376.33008,12470.87012,12327.71973,12437.57031,12437.43066,1990.0112496
399001.SZ,2010-03-09,12440.20996,12569.55957,12289.95996,12507.66016,12507.52051,2001.2256256
399001.SZ,2010-03-10,12496.78027,12553.96973,12363.41016,12391.65039,12391.51172,1982.6640624
399001.SZ,2010-03-11,12399.76953,12468.94043,12277.19043,12367.69043,12367.55176,1978.8304688
399001.SZ,2010-03-12,12364.57031,12376.58984,12167.33984,12169.11035,12168.97363,1947.057656
399001.SZ,2010-03-15,12154.53027,12158.87012,11866.99023,11903.33008,11903.19629,1904.5328128
399001.SZ,2010-03-16,11931.32031,11985.03027,11835.62012,11948.75977,11948.62598,1911.8015632
399001.SZ,2010-03-17,12007.79981,12233.76953,11975.58008,12233.76953,12233.63281,1957.4031248
399001.SZ,2010-03-18,12257.84961,12354.92969,12198.08008,12236.73047,12236.59375,1957.8768752
399001.SZ,2010-03-19,12265.29981,12361.20996,12185.4502,12352.91992,12352.78125,1976.4671872
399001.SZ,2010-03-22,12358.03027,12411.21973,12304.5,12352.4502,12352.31152,1976.392032
399001.SZ,2010-03-23,12362.38965,12400.25,12280.01953,12304.98047,12304.8418,1968.7968752
399001.SZ,2010-03-24,12315.61035,12359.21973,12260.48047,12290.04004,12289.90137,1966.4064064
399001.SZ,2010-03-25,12266.58984,12266.58984,12078.25977,12086.90039,12086.76465,1933.9040624
399001.SZ,2010-03-26,12081.11035,12282.26953,12030.42969,12240.36035,12240.22363,1958.4576560000005
399001.SZ,2010-03-29,12301.59961,12574.87988,12301.59961,12552.4502,12552.30957,2008.392032
399001.SZ,2010-03-30,12574.80957,12617.66992,12527.58008,12593.04004,12592.89844,2014.8864064
399001.SZ,2010-03-31,12603.75,12611.44043,12469.4502,12494.34961,12494.20996,1999.0959376
399001.SZ,2010-04-01,12512.41016,12689.07031,12512.41016,12686.05957,12685.91797,2029.7695312
399001.SZ,2010-04-02,12717.98047,12793.70996,12707.04004,12767.86035,12767.71777,2042.857656
399001.SZ,2010-04-06,12824.15039,12849.70996,12651.11035,12702.83984,12702.69727,2032.4543744
399001.SZ,2010-04-07,12696.33008,12696.33008,12561.41016,12631.96973,12631.82813,2021.1151568
399001.SZ,2010-04-08,12603.25,12603.25,12381.37988,12427.0,12426.86035,1988.32
399001.SZ,2010-04-09,12452.34961,12555.12012,12393.51953,12555.12012,12554.97949,2008.8192192
399001.SZ,2010-04-12,12605.9502,12625.76953,12338.86035,12399.2002,12399.06152,1983.872032
399001.SZ,2010-04-13,12387.38965,12550.34961,12261.26953,12511.88965,12511.75,2001.902344
399001.SZ,2010-04-14,12514.80957,12557.7002,12447.91016,12557.7002,12557.55859,2009.232032
399001.SZ,2010-04-15,12561.53027,12584.11035,12422.32031,12513.29004,12513.15039,2002.1264064
399001.SZ,2010-04-16,12503.46973,12508.51953,12363.79004,12416.86035,12416.72168,1986.6976560000005
399001.SZ,2010-04-19,12248.01953,12248.01953,11641.59961,11644.58008,11644.44922,1863.1328128
399001.SZ,2010-04-20,11627.41016,11713.91016,11395.74023,11538.98047,11538.85156,1846.2368752
399001.SZ,2010-04-21,11557.59961,11779.12988,11501.95996,11766.82031,11766.68848,1882.6912496
399001.SZ,2010-04-22,11745.24023,11822.80957,11573.62012,11703.95996,11703.8291,1872.6335936
399001.SZ,2010-04-23,11681.96973,11808.04981,11638.03027,11702.87012,11702.73926,1872.4592192
399001.SZ,2010-04-26,11701.42969,11767.66016,11594.24023,11602.62988,11602.5,1856.4207808
399001.SZ,2010-04-27,11565.99023,11565.99023,11179.5,11355.37012,11355.24219,1816.8592192
399001.SZ,2010-04-28,11250.53027,11444.58008,11174.16992,11333.84961,11333.72266,1813.4159376
399001.SZ,2010-04-29,11403.0,11452.41016,11195.21973,11196.34961,11196.22461,1791.4159376
399001.SZ,2010-04-30,11135.83984,11192.37988,10974.15039,11162.54004,11162.41504,1786.0064064
399001.SZ,2010-05-04,10959.16016,11139.16016,10911.86035,10960.76953,10960.64648,1753.7231248
399001.SZ,2010-05-05,10853.12988,11006.58008,10671.88965,11003.73047,11003.60742,1760.5968752
399001.SZ,2010-05-06,10936.95996,10936.95996,10421.70996,10422.55957,10422.44238,1667.6095312
399001.SZ,2010-05-07,10184.79004,10346.2002,10091.32031,10146.41992,10146.30566,1623.4271872000002
399001.SZ,2010-05-10,10156.90039,10314.01953,10042.12988,10264.04981,10263.93555,1642.2479696
399001.SZ,2010-05-11,10486.26953,10511.15039,10083.79981,10091.2002,10091.08691,1614.592032
399001.SZ,2010-05-12,10006.94043,10202.55957,9905.480469,10146.62988,10146.51563,1623.4607808
399001.SZ,2010-05-13,10161.17969,10417.80957,10114.67969,10417.80957,10417.69238,1666.8495312
399001.SZ,2010-05-14,10354.78027,10400.28027,10257.75,10330.13965,10330.02344,1652.822344
399001.SZ,2010-05-17,10168.15039,10177.82031,9728.669922,9731.719727,9731.611328,1557.07515632
399001.SZ,2010-05-18,9719.070313,10056.21973,9627.419922,10003.80957,10003.69824,1600.6095312
399001.SZ,2010-05-19,9904.75,10138.17969,9818.900391,9991.400391,9991.289063,1598.62406256
