Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
N225,2010-01-04,10609.33984,10694.49023,10608.13965,10654.79004,10654.79004,106.5479004
N225,2010-01-05,10719.44043,10791.04004,10655.57031,10681.83008,10681.83008,106.8183008
N225,2010-01-06,10709.54981,10768.61035,10661.16992,10731.4502,10731.4502,107.314502
N225,2010-01-07,10742.75,10774.0,10636.66992,10681.66016,10681.66016,106.8166016
N225,2010-01-08,10743.29981,10816.4502,10677.55957,10798.32031,10798.32031,107.9832031
N225,2010-01-12,10770.34961,10905.38965,10763.67969,10879.13965,10879.13965,108.7913965
N225,2010-01-13,10795.48047,10866.62012,10729.86035,10735.03027,10735.03027,107.3503027
N225,2010-01-14,10778.07031,10909.94043,10774.25,10907.67969,10907.67969,109.0767969
N225,2010-01-15,10917.41016,10982.09961,10878.83008,10982.09961,10982.09961,109.8209961
N225,2010-01-18,10887.61035,10895.09961,10781.03027,10855.08008,10855.08008,108.5508008
N225,2010-01-19,10866.83008,10866.83008,10749.46973,10764.90039,10764.90039,107.6490039
N225,2010-01-20,10834.91016,10860.92969,10724.57031,10737.51953,10737.51953,107.3751953
N225,2010-01-21,10704.79004,10886.63965,10649.83984,10868.41016,10868.41016,108.6841016
N225,2010-01-22,10740.20996,10768.07031,10528.33008,10590.54981,10590.54981,105.9054981
N225,2010-01-25,10478.30957,10557.63965,10414.58008,10512.69043,10512.69043,105.1269043
N225,2010-01-26,10506.15039,10566.49023,10324.98047,10325.28027,10325.28027,103.2528027
N225,2010-01-27,10344.07031,10373.82031,10252.08008,10252.08008,10252.08008,102.5208008
N225,2010-01-28,10309.73047,10462.7002,10296.98047,10414.29004,10414.29004,104.1429004
N225,2010-01-29,10308.04981,10324.37012,10198.04004,10198.04004,10198.04004,101.9804004
N225,2010-02-01,10212.36035,10224.83008,10129.91016,10205.01953,10205.01953,102.0501953
N225,2010-02-02,10310.98047,10396.48047,10287.74023,10371.08984,10371.08984,103.7108984
N225,2010-02-03,10428.12012,10436.51953,10356.03027,10404.33008,10404.33008,104.0433008
N225,2010-02-04,10434.51953,10438.41016,10279.57031,10355.98047,10355.98047,103.5598047
N225,2010-02-05,10162.33984,10166.29981,10036.33008,10057.08984,10057.08984,100.5708984
N225,2010-02-08,10007.46973,10063.53027,9942.049805,9951.820313,9951.820313,99.51820313
N225,2010-02-09,9876.610352,9956.790039,9867.389648,9932.900391,9932.900391,99.32900391
N225,2010-02-10,10024.25977,10049.87012,9963.990234,9963.990234,9963.990234,99.63990234
N225,2010-02-12,10085.34961,10099.45996,10014.5,10092.19043,10092.19043,100.9219043
N225,2010-02-15,10097.82031,10119.46973,10012.53027,10013.29981,10013.29981,100.1329981
N225,2010-02-16,10044.53027,10062.26953,10019.42969,10034.25,10034.25,100.3425
N225,2010-02-17,10161.71973,10306.83008,10150.24023,10306.83008,10306.83008,103.0683008
N225,2010-02-18,10324.98047,10340.37988,10285.04981,10335.69043,10335.69043,103.3569043
N225,2010-02-19,10334.40039,10354.41992,10123.58008,10123.58008,10123.58008,101.2358008
N225,2010-02-22,10302.07031,10449.75,10298.15039,10400.46973,10400.46973,104.0046973
N225,2010-02-23,10327.63965,10375.54981,10280.33008,10352.09961,10352.09961,103.5209961
N225,2010-02-24,10205.15039,10243.2002,10129.65039,10198.83008,10198.83008,101.9883008
N225,2010-02-25,10256.09961,10267.42969,10087.20996,10101.95996,10101.95996,101.0195996
N225,2010-02-26,10107.08008,10171.21973,10085.12988,10126.03027,10126.03027,101.2603027
N225,2010-03-01,10128.73047,10215.15039,10116.86035,10172.05957,10172.05957,101.7205957
N225,2010-03-02,10199.19043,10238.95996,10150.29981,10221.83984,10221.83984,102.2183984
N225,2010-03-03,10193.9502,10274.08984,10186.67969,10253.13965,10253.13965,102.5313965
N225,2010-03-04,10255.69043,10263.48047,10134.37012,10145.71973,10145.71973,101.4571973
N225,2010-03-05,10254.61035,10376.41016,10254.61035,10368.95996,10368.95996,103.6895996
N225,2010-03-08,10538.12012,10586.96973,10514.28027,10585.91992,10585.91992,105.8591992
